path	duration	peak	rms
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/glass_001.mp3	0.366	0.5569	0.0569
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/glass_002.mp3	0.183	0.5791	0.0604
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/glass_003.mp3	0.183	0.6060	0.0822
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/glass_004.mp3	0.784	0.5944	0.0795
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/glass_005.mp3	0.209	0.5500	0.0483
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/glass_006.mp3	0.209	0.6005	0.0565
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/glitch_001.mp3	0.078	0.8457	0.1510
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/glitch_002.mp3	0.104	0.8501	0.1017
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/glitch_003.mp3	0.078	0.7784	0.0859
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/glitch_004.mp3	0.104	0.8532	0.0683
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/maximize_001.mp3	0.313	0.5769	0.1322
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/maximize_002.mp3	0.313	0.6337	0.1803
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/maximize_003.mp3	0.287	0.5678	0.0528
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/maximize_004.mp3	0.496	0.5855	0.1025
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/maximize_005.mp3	0.601	0.6933	0.0862
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/maximize_006.mp3	0.444	0.6055	0.1213
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/maximize_007.mp3	0.261	0.5988	0.1137
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/maximize_008.mp3	0.313	0.6083	0.1323
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/maximize_009.mp3	0.287	0.6084	0.1747
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/minimize_001.mp3	0.340	0.5782	0.1242
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/minimize_002.mp3	0.313	0.6985	0.1793
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/minimize_003.mp3	0.287	0.5383	0.0532
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/minimize_004.mp3	0.496	0.5963	0.1044
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/minimize_005.mp3	0.601	0.6924	0.0866
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/minimize_006.mp3	0.444	0.6120	0.1215
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/minimize_007.mp3	0.261	0.6076	0.1153
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/minimize_008.mp3	0.313	0.6050	0.1322
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/minimize_009.mp3	0.313	0.6194	0.1681
Assets/_Project/AudioEffects/packs/kenney_interface-sounds/open_001.mp3	0.209	0.4890	0.0880
